OBJECTNUMMER,Locatie,Artikelen,SELECTIE,FILTER_DAG,Maandag,Dinsdag,Woensdag,Donderdag,Vrijdag,Zaterdag,Zondag,Dagen,Gemeente,Foto,Website,Meer_informatie,Plattegrond,Openstaande_plaatsen,Longitude,Latitude
43,Plein `40-`45,Algemene waren,ALGEMEEN,Di|Wo|Do|Vr|Za,,9.00-17.00 uur,9.00-17.00 uur,9.00-17.00 uur,9.00-17.00 uur,9.00-17.00 uur,,Di - Do - Vr - Wo - Za,Ja,markt_plein_40-45_04_mrt_2004.jpg,,,,,4.821625,52.380021
44,Ten Katemarkt,Algemene waren,ALGEMEEN,Ma|Di|Wo|Do|Vr|Za,9.00-18.00 uur,9.00-18.00 uur,9.00-18.00 uur,9.00-18.00 uur,9.00-18.00 uur,9.00-18.00 uur,,Di - Do - Ma - Vr - Wo - Za,Ja,ten_katemarkt_3_apr_2003.jpg,,,,,4.8672009,52.3664093
45,Siermarkt,Algemene waren,ALGEMEEN,Wo,,,9.00-17.00 uur,,,,,Wo,Nee,,,,,,4.826431,52.355012
46,Rembrandtplein,Kunst / Antiek en curiosa,KUNSTANTIEK,Zo,,,,,,,10.30-18.00 uur,Zo,Nee,13. Kunstmarkt Rembrandtplein maart 2013.jpg,,,,,4.89634,52.365958
55,Stadionplein,Boerenmarkt / Bioversmarkt,BOERENMARKT,Za,,,,,,9.00-17.00 uur,,Za,Ja,,,,,,4.8577271,52.3439409
56,Pekmarkt,Algemene waren,ALGEMEEN,Wo|Vr|Za|,,,9.00-16.30 uur,,9.00-16.30 uur,9.00-16.30 uur,,Vr - Wo - Za,Ja,,,,Plattegrond_Van_der_Pekstraat.pdf,,4.9104171,52.389843
57,Pekmarkt,Boerenmarkt / Bioversmarkt,BOERENMARKT,Vr,,,,,9.00-16.30 uur,,,Vr,Ja,,,,,,4.9098272,52.3889389
58,Pekmarkt,Kunst / Antiek en curiosa,KUNSTANTIEK,Za,,,,,,9.00-16.30 uur,,Za,Ja,,,,,,4.9109311,52.3906174
60,Albert Cuyp / Eerste Sweelinckstraat,Boerenmarkt / Bioversmarkt,BOERENMARKT,Wo,,,10-17 uur,,,,,Wo,Nee,,www.albertcuypmarkt.nl/,,,,4.8971772,52.3567314
62,Pure Markt Amstelpark,Algemene waren,ALGEMEEN,Zo,,,,,,,"11:00-18:00 uur (2e zondag vd maand, niet in nov jan feb mrt)",Zo,Nee,,www.puremarkt.nl,,,,4.8916841,52.3322105
64,IJ-hallen,Kunst / Antiek en curiosa,KUNSTANTIEK,Za|Zo,,,,,,09:00-16:30 uur (maandelijks),09:00-16:30 uur (maandelijks),Za - Zo,Nee,,www.ijhallen.nl,,,,4.8942642,52.4020004
65,Pure Markt Frankendael,Boerenmarkt / Bioversmarkt,BOERENMARKT,Zo|,,,,,,,"11:00-18:00 (laatste zondag vd maand, niet nov, jan, feb)",Zo,Nee,,www.puremarkt.nl,,,,4.9296989,52.3511405
66,Sunday Market,Kunst / Antiek en curiosa,KUNSTANTIEK,Zo,,,,,,,12:00-18:00 (eerste zondag vd maand),Zo,Nee,,http://www.sundaymarket.nl/,,,,4.8711061,52.3858414
67,Mercatormarkt,Boerenmarkt / Bioversmarkt,BOERENMARKT,Za,,,,,,10:00-17:00 (zie website voor data),,Za,Nee,,http://www.mercatormarkt.nl/,,,,4.851038,52.3696136
76,Pure Markt Beatrixpark,Boerenmarkt / Bioversmarkt,BOERENMARKT,Zo,,,,,,,11:00-18:00 (zie website voor data),Zo,Nee,,www.puremarkt.nl,,,,4.884614,52.3430481
77,Trek je klep open - Kofferbakmarkt Blijburg,Kunst / Antiek en curiosa,KUNSTANTIEK,Zo,,,,,,,"10:00-16:00 (laatste zondag in apr, t/m sep)",Zo,Nee,,http://debrugkrant.nl/agenda/trek-je-klep-open-de-kofferbakmarkt-van-blijburg-2012-04-29/,,,,5.0146689,52.3497734
79,De Foodhallen,Boerenmarkt / Bioversmarkt,BOERENMARKT,Ma|Di|Wo|Do|Vr|Za|Zo,11:00-20:00,11:00-20:00,11:00-20:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-20:00,Di - Do - Ma - Vr - Wo - Za - Zo,Nee,,https://nl-nl.facebook.com/foodhallen,,,,4.8691049,52.3670998
121,ZuiderMRKT,Boerenmarkt / Bioversmarkt,BOERENMARKT,Za,,,,,,9:30-17:00 uur,,Za,Nee,,www.zuidermrkt.nl,,,,4.8758378,52.3554268
122,REURING markt op IJburg,Boerenmarkt / Bioversmarkt,BOERENMARKT,Za,,,,,,09:00 - 16:00 uur,,Za,Ja,,www.reuringmarkt.nl,Joris Ivensplein,,,4.9909739,52.3570404
